RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
  226 │ Doxocopa cyane                                │ Animalia     │     50 │     50 │     0 ✓
  227 │ Dryas iulia                                   │ Animalia     │     50 │     50 │     0 ✓
  228 │ Epiphile chrysites                            │ Animalia     │     50 │     50 │     0 ✓
  229 │ Epiphile epimenes                             │ Animalia     │     50 │     50 │     0 ✓
  230 │ Eresia clio                                   │ Animalia     │     50 │     50 │     0 ✓
  231 │ Eryphanis lycomedon                           │ Animalia     │     50 │     50 │     0 ✓
  232 │ Eueides procula                               │ Animalia     │     50 │     50 │     0 ✓
  233 │ Euptychoides saturnus                         │ Animalia     │     50 │     50 │     0 ✓
  234 │ Graphita griphe                               │ Animalia     │     50 │     50 │     0 ✓
  235 │ Heliconius charithonia                        │ Animalia     │     50 │     50 │     0 ✓
  236 │ Heliconius clysonymus                         │ Animalia     │     50 │     50 │     0 ✓
  237 │ Heliconius doris                              │ Animalia     │     50 │     50 │     0 ✓
  238 │ Heliconius eleuchia                           │ Animalia     │     50 │     50 │     0 ✓
  239 │ Hermeuptychia harmonia                        │ Animalia     │     50 │     50 │     0 ✓
  240 │ Hypanartia kefersteini                        │ Animalia     │     50 │     50 │     0 ✓
  241 │ Hypanartia lethe                              │ Animalia     │     50 │     50 │     0 ✓
  242 │ Ithomia iphianassa                            │ Animalia     │     50 │     50 │     0 ✓
  243 │ Janatella fellula                             │ Animalia     │     50 │     50 │     0 ✓
  244 │ Junonia evarete                               │ Animalia     │     50 │     50 │     0 ✓
  245 │ Lycorea cleobaea                              │ Animalia     │     50 │     50 │     0 ✓
  246 │ Malaveria rodriguezi                          │ Animalia     │     50 │     50 │     0 ✓
  247 │ Marpesia berania                              │ Animalia     │     50 │     50 │     0 ✓
  248 │ Marpesia corinna                              │ Animalia     │     50 │     50 │     0 ✓
  249 │ Mechanitis polymnia                           │ Animalia     │     50 │     50 │     0 ✓
  250 │ Memphis lyceus                                │ Animalia     │     50 │     50 │     0 ✓
  251 │ Morpho sulkowskyi                             │ Animalia     │     50 │     50 │     0 ✓
  252 │ Opsiphanes quiteria                           │ Animalia     │     50 │     50 │     0 ✓
  253 │ Oressinoma typhla                             │ Animalia     │     50 │     50 │     0 ✓
  254 │ Parataygetis lineata                          │ Animalia     │     50 │     50 │     0 ✓
  255 │ Pareuptychia hesione                          │ Animalia     │     50 │     50 │     0 ✓
  256 │ Pareuptychia metaleuca                        │ Animalia     │     50 │     50 │     0 ✓
  257 │ Pedaliodes peucestas                          │ Animalia     │     50 │     50 │     0 ✓
  258 │ Pedaliodes phaedra                            │ Animalia     │     50 │     50 │     0 ✓
  259 │ Perisama bonplandii                           │ Animalia     │     50 │     50 │     0 ✓
  260 │ Perisama humboldtii                           │ Animalia     │     50 │     50 │     0 ✓
  261 │ Perisama lebasii                              │ Animalia     │     50 │     50 │     0 ✓
  262 │ Perisama oppelii                              │ Animalia     │     50 │     50 │     0 ✓
  263 │ Podotricha judith                             │ Animalia     │     50 │     50 │     0 ✓
  264 │ Pseudohaetera hypaesia                        │ Animalia     │     50 │     50 │     0 ✓
  265 │ Siproeta epaphus                              │ Animalia     │     50 │     50 │     0 ✓
  266 │ Siproeta stelenes                             │ Animalia     │     50 │     50 │     0 ✓
  267 │ Tegosa anieta                                 │ Animalia     │     50 │     50 │     0 ✓
  268 │ Tithorea tarricina                            │ Animalia     │     50 │     50 │     0 ✓
  269 │ Vanessa braziliensis                          │ Animalia     │     50 │     50 │     0 ✓
  270 │ Endrosis sarcitrella                          │ Animalia     │     50 │     50 │     0 ✓
  271 │ Papilio polyxenes                             │ Animalia     │     50 │     50 │     0 ✓
  272 │ Parides erithalion                            │ Animalia     │     50 │     50 │     0 ✓
  273 │ Pelecinus polyturator                         │ Animalia     │     50 │     50 │     0 ✓
  274 │ Anteos clorinde                               │ Animalia     │     50 │     50 │     0 ✓
  275 │ Archonias flisa                               │ Animalia     │     50 │     50 │     0 ✓
  276 │ Catasticta prioneris                          │ Animalia     │     50 │     50 │     0 ✓
  277 │ Leptophobia aripa                             │ Animalia     │     50 │     50 │     0 ✓
  278 │ Zelus longipes                                │ Animalia     │     50 │     50 │     0 ✓
  279 │ Rhetus arcius                                 │ Animalia     │     50 │     50 │     0 ✓
  280 │ Rhetus dysonii                                │ Animalia     │     50 │     50 │     0 ✓
  281 │ Ancognatha scarabaeoides                      │ Animalia     │     50 │     50 │     0 ✓
  282 │ Ancognatha vulgaris                           │ Animalia     │     50 │     50 │     0 ✓
  283 │ Cyclocephala lunulata                         │ Animalia     │     50 │     50 │     0 ✓
  284 │ Golofa eacus                                  │ Animalia     │     50 │     50 │     0 ✓
  285 │ Gymnetis pantherina                           │ Animalia     │     50 │     50 │     0 ✓
  286 │ Heterogomphus mniszechi                       │ Animalia     │     50 │     50 │     0 ✓
  287 │ Lycomedes hirtipes                            │ Animalia     │     50 │     50 │     0 ✓
