species,precision,recall,f1_score,support
Passiflora_cisnana,0.6,0.6,0.6,5
Passiflora_coriacea,0.6,0.6,0.6,5
Passiflora_cumbalensis,0.8,0.8,0.8,5
Passiflora_cuspidifolia,1.0,0.8,0.8889,5
Passiflora_maliformis,0.75,0.6,0.6667,5
Passiflora_mixta,0.6667,0.8,0.7273,5
Passiflora_suberosa,0.3333,0.4,0.3636,5
Passiflora_tribolophylla,0.8,0.8,0.8,5
Passiflora_vitifolia,0.5714,0.8,0.6667,5
Patagioenas_cayennensis,0.5714,0.8,0.6667,5
Patagioenas_fasciata,0.5,0.2,0.2857,5
Pedaliodes_peucestas,1.0,1.0,1.0,5
Pedaliodes_phaedra,0.8333,1.0,0.9091,5
Pelecinus_polyturator,1.0,1.0,1.0,5
Penelope_montagnii,0.9286,0.9286,0.9286,14
Peperomia_rotundifolia,0.625,1.0,0.7692,5
Perisama_bonplandii,0.8333,1.0,0.9091,5
Perisama_humboldtii,1.0,0.8,0.8889,5
Perisama_lebasii,1.0,0.8,0.8889,5
Perisama_oppelii,0.8333,1.0,0.9091,5
Persicaria_capitata,1.0,0.6,0.75,5
