================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8520 (85.2%)
  Top 5 Accuracy: 0.9453 (94.5%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   288 species
  F1 >= 0.7 & < 0.9       =   331 species
  F1 >= 0.5 & < 0.7       =    85 species
  F1 < 0.5                =    15 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (288 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Pseudohaetera_hypaesia                       1.0000     1.0000     1.0000          5
  Pseudosphinx_tetrio                          0.8333     1.0000     0.9091          5
  Pteroglossus_torquatus                       1.0000     1.0000     1.0000          5
  Pterophanes_cyanopterus                      1.0000     0.9333     0.9655         15
  Pterostemma_antioquiense                     1.0000     1.0000     1.0000          5
  Pulsatrix_perspicillata                      1.0000     1.0000     1.0000          5
  Pyrrhomyias_cinnamomeus                      1.0000     1.0000     1.0000         14
  Pythonides_jovianus                          1.0000     1.0000     1.0000          5
  Ramphastos_citreolaemus                      1.0000     1.0000     1.0000          5
  Ramphocelus_dimidiatus                       1.0000     1.0000     1.0000          8
  Raphiocera_ornata                            0.8333     1.0000     0.9091          5
  Retrophyllum_rospigliosii                    0.8333     1.0000     0.9091          5
  Rhodobaenus_augustinus                       1.0000     1.0000     1.0000          5
  Rhytidochrota_risaraldae                     1.0000     1.0000     1.0000          5
  Rubus_nubigenus                              0.8333     1.0000     0.9091          5
  Saguinus_leucopus                            1.0000     1.0000     1.0000          5
  Saltator_cinctus                             1.0000     1.0000     1.0000          5
  Sayornis_nigricans                           1.0000     1.0000     1.0000          9
  Scaphyglottis_aurea                          1.0000     1.0000     1.0000          5
  Sciurus_granatensis                          0.9375     1.0000     0.9677         15
  Senecio_niveoaureus                          1.0000     1.0000     1.0000          5
  Sericoptera_mahometaria                      0.8333     1.0000     0.9091          5
  Sericossypha_albocristata                    1.0000     1.0000     1.0000          5
  Serpocaulon_levigatum                        0.8333     1.0000     0.9091          5
  Sibovia_prodigiosa                           1.0000     1.0000     1.0000          5
  Solanum_quitoense                            0.8333     1.0000     0.9091          5
  Solanum_vestissimum                          1.0000     1.0000     1.0000          5
  Sporophila_intermedia                        0.8333     1.0000     0.9091          5
  Stagmatoptera_septentrionalis                0.8333     1.0000     0.9091          5
  Streptosolen_jamesonii                       1.0000     1.0000     1.0000          5
  Sylvilagus_andinus                           1.0000     1.0000     1.0000          5
  Tangara_labradorides                         1.0000     1.0000     1.0000          5
  Tangara_vassorii                             0.8333     1.0000     0.9091          5
  Tegosa_anieta                                1.0000     1.0000     1.0000          5
  Tetragonisca_angustula                       1.0000     1.0000     1.0000          5
  Thalurania_colombica                         1.0000     1.0000     1.0000          5
  Tiaris_olivaceus                             0.8333     1.0000     0.9091          5
  Tityra_semifasciata                          1.0000     1.0000     1.0000          5
  Trichonephila_clavipes                       1.0000     1.0000     1.0000          5
  Trifolium_repens                             0.8333     1.0000     0.9091          5
  Trigona_fulviventris                         1.0000     1.0000     1.0000          5
  Troglodytes_solstitialis                     1.0000     1.0000     1.0000          8
  Turdus_fuscater                              0.9375     1.0000     0.9677         15
  Tyrannus_melancholicus                       0.9375     1.0000     0.9677         15
  Urania_fulgens                               1.0000     1.0000     1.0000          5
  Urosticte_benjamini                          0.8333     1.0000     0.9091          5
  Vanessa_braziliensis                         1.0000     1.0000     1.0000          5
  Vanessa_carye                                1.0000     1.0000     1.0000          9
  Veniliornis_dignus                           1.0000     1.0000     1.0000          5
  Voyria_tenella                               1.0000     1.0000     1.0000          5
  Xenops_rutilans                              1.0000     1.0000     1.0000          5
  Xylocopa_fimbriata                           1.0000     1.0000     1.0000          5
  Zelus_longipes                               1.0000     1.0000     1.0000          5
  Zimmerius_chrysops                           0.8333     1.0000     0.9091          5
  Zingiber_spectabile                          1.0000     1.0000     1.0000          9
  Zonotrichia_capensis                         0.9375     1.0000     0.9677         15

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.7 & < 0.9  (331 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
────────────────────────────────────────────────────────────────────────────────
  Aechmea_angustifolia                         1.0000     0.8000     0.8889          5
  Aglaiocercus_kingii                          1.0000     0.8000     0.8889         15
  Alouatta_seniculus                           0.8000     0.8000     0.8000          5
  Altinote_ozomene                             0.8571     0.8571     0.8571          7
  Amazilia_tzacatl                             0.7500     0.6667     0.7059          9
  Amazona_mercenaria                           1.0000     0.8000     0.8889          5
  Ampelioides_tschudii                         0.7143     1.0000     0.8333          5
  Ampelion_rufaxilla                           1.0000     0.6000     0.7500          5
  Ancognatha_vulgaris                          0.8000     0.8000     0.8000          5
  Andinia_pilosella                            1.0000     0.8000     0.8889          5
  Anisognathus_lacrymosus                      0.9286     0.8667     0.8966         15
  Anolis_antonii                               0.8750     0.8750     0.8750          8
  Anolis_quimbaya                              1.0000     0.6000     0.7500          5
  Anolis_ventrimaculatus                       0.6667     0.8000     0.7273          5
  Anteos_clorinde                              0.6250     1.0000     0.7692          5
  Anthanassa_drusilla                          1.0000     0.8000     0.8889          5
  Anthracothorax_nigricollis                   1.0000     0.6000     0.7500          5
  Anthurium_caramantae                         0.7500     1.0000     0.8571          6
  Aotus_griseimembra                           0.7143     1.0000     0.8333          5
  Aotus_lemurinus                              0.6667     0.8000     0.7273          5
  Apis_mellifera                               0.9091     0.8333     0.8696         12
  Ara_severus                                  1.0000     0.8000     0.8889          5
  Aratinga_wagleri                             0.7143     1.0000     0.8333          5
  Araucaria_columnaris                         1.0000     0.8000     0.8889          5
  Ardea_alba                                   1.0000     0.8000     0.8889          5
  Aristolochia_cordiflora                      1.0000     0.8000     0.8889          5
  Arundina_graminifolia                        0.6667     0.8000     0.7273          5
  Atractus_lehmanni                            0.6250     1.0000     0.7692          5
  Atractus_obesus                              0.8000     0.8000     0.8000          5
  Bangsia_melanochlamys                        0.6667     0.8000     0.7273          5
